catalog_number,overview,ids
107034,"<p>Bell &amp; Gossett model SA-3/4"" threaded, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 10 feet of water this valve will perform from 1 to 8 GPM. See performance curves for your exact flow rate.</p>",2983635
DP0905,,2983636
UC-3/4S,,2983637
P78729,<p>Bell &amp; Gossett standard rubber coupler sleeve for B&amp;G series 1510 pumps for use between the pump and motor flanges.</p>,2983638
108126,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983639
108127,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983640
112097,<p>The B&amp;G In-Line Air Separator is specially designed to efficiently separate air from circulation water in hydronic heating and cooling systems to assure efficient and quiet operation.</p>,2983641
112098,<p>The B&amp;G In-Line Air Separator is specially designed to efficiently separate air from circulation water in hydronic heating and cooling systems to assure efficient and quiet operation.</p>,2983642
113202LF,"<p>Bell &amp; Gossett 3/4"" NPT union connection for NBF circulator pumps (set of 2).</p>",2983643
107035,"<p>Bell &amp; Gossett model HT-3/4"" threaded, hydrotrol with a combination straight or angle-pattern flow-control valve. Can be installed vertically or horizontally. Its ductile iron body is rated to 150 psi and 250°F. Hydrotrol valves prevent overheating of zones due to gravity flow in hydronic heating systems and permit operation of indirect water heaters in both summer and winter. The HT valve allows fluid to pass when the pumps start. When the system or zone pumps are not operating they remain closed preventing gravity circulation. See performance curve for your exact flow rate.</p>",2983644
118431LF,,2983645
P81917,<p>Bell &amp; Gossett water slinger for B&amp;G VCS/ VSCS pumps.</p>,2983646
107018,"<p>Bell &amp; Gossett model SA-1"" threaded, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 8 feet of water this valve will perform from 1 to 18 GPM. See performance curves for your exact flow rate.</p>",2983647
118057,"<p>Bell &amp; Gossett packing for model SA-3/4 , SA-1, SA-1-1/4, SA-1-1/2, SB-3/4, SA-2, A-2-1/2, S-2-1/2, A-3, and S-3 Flo-Control valves, as well as, model TB-3/4, TB-1, 3DX-1, 3DX-1-1/4, and 3DX-1-1/2 triple duty valves. This packing can also be used on obsolete model SA-3/4 and SB-3/4 Flo-Control valves.</p>",2983648
P85080,"<p>Bell &amp; Gossett seal plate gasket for B&amp;G series VSC-D pumps models 10x10x13 through 12x14x17-1/2 with 2-5/8"" shaft sizes.</p>",2983649
HT-1,,2983650
186001NG,"<p>Bell &amp; Gossett ball bearing for the coupling end on B&amp;G bearing assembly models 185011, 185012, 185013, 185321, P85005, 186397, 186398, 186399, P70418, P70419, P70421, P70422, P70424, and P70425; used on series 1510 and e-1510 pumps.</p>",2983651
101015LF,,2983653
101221LF,,2983652
101017LF,,2983655
101016,"<p>Bell &amp; Gossett 1-1/4"" bronze pump flange for B&amp;G series HV, NBF, and PL bronze body booster pumps.</p>",2983654
P80761,<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS pumps. </p>,2983656
118709,"<p>Bell &amp; Gossett 1/2"" x 5/8"" coupler for PD-35, PD-37, and PD-40 booster pumps, as well as, 60 series AA and 1522 centrifugal pumps. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983657
101226LF,"<p>Bell &amp; Gossett pair of 3/4"" sweat ball valves mounted on a pump flange with capscrews and nuts. This isolation flange can be used on the following B&amp;G circulators: NRF, NBF, and SSF wet rotors, Series PL-30, PL-36, and PL-55, Series 100, PR, and LR pumps. Isolation flanges combine a circulator flange and ball valve to allow the circulator to be isolated from the system for quick and easy removal. It also allows pump throttling.</p>",2983658
V32801,<p>Bell &amp; Gossett gasket for CB-5F and CB-5G circuit setter balancing valves.</p>,2983659
101011LF,,2983660
HFT-15,,2983661
P81909,"<p>Bell &amp; Gossett impeller key for B&amp;G series VSC and VSCS pumps. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983662
52-108-475-011,,2983664
110193LF,"<p>Bell &amp; Gossett model FB38 brass pressure reducing valve with a 1/2"" female x female NPT connection. These valves are for use in low pressure hydronic systems with a check valve and strainer that are factory set to 12 psi. They feature an adjustable range of 10-25 psi. This model also features a ""fast-fill"" handle, which opens the valve full open for faster filling of the hydronic system, and includes the connection nipple, nut, and washer.</p>",2983663
110190,"<p>Bell &amp; Gossett model B38 1/2"" female by female NPT brass reducing valve for low pressure hydronic systems with their check valve and strainer factory set to 12 psi. This valve has an adjustable range of 10-25 psi.</p>",2983665
107024,"<p>Bell &amp; Gossett model SB-3/4"" sweat, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 7.5 feet of water this valve will perform from 1 to 125 GPM. See performance curves for your exact flow rate.</p>",2983666
V33001,<p>Bell &amp; Gossett gasket for CB-6F and CB-6G circuit setter balancing valves.</p>,2983667
A91272,<p>Bell &amp; Gossett steel strainer for DD-3 and ED-3 suction diffusers.</p>,2983668
V50769,<p>Bell &amp; Gossett valve stem for model 3DX-1-1/2 triple duty valves.</p>,2983669
189035,,2983670
P85048,,2983671
186410,"<p>Bell &amp; Gossett 1/2"" x 5/8"" spring coupler for series 60 model 60-5, 60-6, 60-8, 60-15, and 60-16 centrifugal pumps. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983672
110194,,2983673
101222,"<p>Bell &amp; Gossett pair of 1"" NPT ball valves mounted on a pump flange with capscrews and nuts. This isolation flange can be used on the following B&amp;G circulators: NRF, NBF, and SSF wet rotors, Series PL-30, PL-36, and PL-55, Series 100, PR, and LR pumps. Isolation flanges combine a circulator flange and ball valve to allow the circulator to be isolated from the system for quick and easy removal. It also allows pump throttling.</p>",2983674
101227,,2983675
101231LF,"<p>Bell &amp; Gossett CTF-3/4"" is comprised of one isolation flange valve and one check-trol valve, mounted on pump flanges with capscrews and nuts. This check-trol and isolation flange package can be used on the following B&amp;G circulators: NRF, NBF, and SSF wet rotors, Series PL-30, PL-36, and PL-55, Series 100, PR, and LR pumps. This package combines an isolation ball valve to allow the circulator to be isolated from the system for quick and easy removal, with an internal spring check to prevent gravity circulation. It also allows pump flow control.</p>",2983676
101236,,2983677
113246,,2983678
52-113-301-009,,2983679
110199,,2983680
110191,"<p>Bell &amp; Gossett model B38TU 1/2"" reducing valve.</p>",2983681
113021,"<p>This automatic air vent caputure unwanted air in your hydronic heating system, and then automatically vents the air to the atmosphere. </p>",2983682
G85250,,2983683
G86000,,2983684
V35000,<p>Bell &amp; Gossett gasket for CB-8F and CB-8G circuit setter balancing valves.</p>,2983685
186681,<p>Bell &amp; Gossett seal kit for B&amp;G pumps with 186865 bearing assemblies. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>,2983686
189128LF,"<p>Bell &amp; Gossett noryl (non-ferrous) construction impeller, with a 2-3/4"" outside diameter, for B&amp;G series HV and 2 booster pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983687
117415LF,"<p>Bell &amp; Gossett model CB-3/4 3/4"" IPF circuit setter with a NPT connection and straight pattern balancing valve.</p>",2983688
118474,,2983689
117411LF,"<p>Bell &amp; Gossett model RF-3/4S 3/4"" circuit setter with a sweat connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983690
107019,"<p>Bell &amp; Gossett model SA-1-1/4"" threaded, combination straight or angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 6.5 feet of water this valve will perform from 1 to 22 GPM. See performance curves for your exact flow rate.</p>",2983691
118697,,2983692
118855,,2983693
J94144,"<p>Bell &amp; Gossett o-ring for HH-3X, HH-3Z, JH-3X, JH-3Z, and SDG-8 suction diffusers.</p>",2983694
P78791,<p>Bell &amp; Gossett standard rubber coupler sleeve for B&amp;G series 1510 and VSC/VCSC pumps for use between the pump and motor flanges.</p>,2983695
B2749,,2983696
101232,,2983697
101237,,2983698
3/4^,,2983699
117413LF,"<p>Bell &amp; Gossett model CB-3/4S 3/4"" IPF circuit setter with a sweat connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2983700
185329,"<p>Bell &amp; Gossett 1/2"" x 1/2"" sleeve type coupler for new style 60 series centrifugal pumps, specifically models 612, 614, and 616. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983701
P03560,"<p>Bell &amp; Gossett 2-1/2"" iron flange for model PL-130/3"" B&amp;G series PL iron body booster pump, as well as, B&amp;G series 2-1/2 iron body pumps.</p>",2983702
P77216,"<p>Bell &amp; Gossett front bearing for B&amp;G model 186863, 186865, and P10316 bearing assemblies on series PD, 60, and 1522 pumps. It is recommended to repair both the front and rear bearings at the same time.</p>",2983703
P75606,"<p>Bell &amp; Gossett bearing cap for 185011, 185012, and 185013 bearing assemblies on B&amp;G series 1510 and e-1510 pumps with small bearing frames. A bearing cap fits the shaft and bearings to the bearing frame.</p>",2983704
110124,"<p>Bell &amp; Gossett model 790-50 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 50 psi and has a 1,160,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983705
112008,,2983706
112010,,2983707
112011,,2983708
112013,"<p>For proper system operation, the air cushion (Compression Tank) should be the only air space within a closed hydronic system. This air cushion can then provide adequate pressurization for all fluctuations of the system. Because air can be absorbed in water, some means of restricting the flow of cooler water from the tank into the system is needed without restricting the passage of air into the tank. Compression tank size can be reduced by reducing vapor pressure if this is achieved. The Airtrol can do this by allowing the air to rise in the tube into the top of the tank, but the water flow is restricted by a baffle or trap.</p>",2983709
186906,,2983710
103251,"<p>Series NRF cast iron pumps are small, reliable, in-line circulator pumps intended to pump water through closed loop systems for heating and cooling in residential and light commercial settings. The Series NRF features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique DuraGlide bearing system also contributes to trouble-free start-ups. A powerful Red Fox motor offers high starting torque, ensuring consistent start-up season after season. The Series NRF's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2983711
101223,"<p>Bell &amp; Gossett pair of 1-1/4"" NPT ball valves mounted on a pump flange with capscrews and nuts. This isolation flange can be used on the following B&amp;G circulators: NRF, NBF, and SSF wet rotors, Series PL-30, PL-36, and PL-55, Series 100, PR, and LR pumps. Isolation flanges combine a circulator flange and ball valve to allow the circulator to be isolated from the system for quick and easy removal. It also allows pump throttling.</p>",2983712
101228,,2983713
110125,"<p>Bell &amp; Gossett model 790-75 bronze hot water relief valve in an angle pattern with a 3/4"" inlet and a 3/4"" outlet. This valve can be set at 75 psi and has a 1,615,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2983714
P78792,<p>Bell &amp; Gossett standard rubber coupler sleeve for B&amp;G series 1510 and VSC/VCSC pumps for use between the pump and motor flanges.</p>,2983715
185330,"<p>Bell &amp; Gossett 1/2"" x 5/8"" spring coupler for new style 60 series centrifugal pumps. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983716
